	GSM8343538	GSM8343539	GSM8343540	GSM8343541	GSM8343542	GSM8343543
100287102	25	49	39	46	39	41
653635	1497	827	863	857	1104	750
102466751	49	52	64	40	51	48
107985730	6	10	17	25	16	10
100996442	141	114	176	148	145	113
729737	1566	544	930	709	653	547
102725121	31	55	49	66	57	62
102723897	1353	834	865	982	1143	817
102465909	30	24	28	18	26	21
107985721	23	31	28	53	40	23
112268260	23	32	27	33	28	20
100132287	1467	801	1076	881	881	793
113219467	5374	5228	4657	4515	5969	3938
81399	12	35	28	32	35	27
100133331	951	592	824	680	657	594
107984841	241	253	328	300	259	306
107984847	467	340	445	392	443	369
107984849	40	94	101	68	114	97
100288069	302	317	393	365	356	306
105378580	102	246	227	314	292	215
400728	54	65	68	53	49	51
79854	59	65	65	74	76	74
643837	775	1051	1007	1319	1378	833
284600	255	159	167	191	211	179
100130417	77	51	89	76	58	75
107985728	131	18	40	73	63	26
148398	508	232	290	367	368	236
26155	2283	2405	2432	2505	3127	2769
339451	635	261	457	342	410	287
57801	5540	1180	1673	1120	1257	347
9636	67	66	138	103	127	66
375790	26801	7722	6542	7190	5903	4626
100288175	27	16	20	14	14	4
112267874	20	8	13	3	6	3
105378948	13	13	15	14	15	7
54991	348	552	581	497	604	500
100506376	59	18	4	25	14	7
254173	42	28	19	32	26	3
51150	3083	2527	2429	2905	3249	2460
126792	2435	1545	1632	1835	2278	1661
388581	56	11	11	11	16	19
118424	3939	1941	2045	2033	2606	1849
101928895	186	88	113	103	117	72
6339	150	91	220	96	130	105
116983	5124	1788	1349	1326	1381	1173
126789	680	391	668	466	717	471
54973	1120	1956	2454	2234	2900	2048
102465435	10	4	4	4	10	3
80772	674	524	519	552	671	456
83756	162	54	48	36	40	44
1855	1593	1072	1061	1213	1195	1097
54587	374	202	523	564	389	331
54998	1800	1690	2100	1760	2627	1659
81669	3903	5278	9112	6874	8118	6225
148413	330	578	597	718	636	561
55052	1440	1558	1824	1716	2250	1645
107984868	11	37	43	49	47	67
441869	44	20	20	26	20	19
102724312	74	11	20	19	32	6
107985729	36	3	12	12	11	9
64856	513	255	368	532	620	548
219293	108	47	33	56	67	67
83858	2724	1416	1285	1234	1331	1242
55210	1422	1038	950	945	1029	1119
339453	243	127	135	117	130	115
29101	1660	2671	3603	3355	4425	3001
643988	225	171	274	257	418	233
105378586	14	9	12	25	24	20
142678	2643	1100	898	914	1028	764
8510	184	92	88	92	85	61
984	1649	1269	1037	928	1052	907
728661	12108	7802	8716	9991	10947	7664
8511	30	23	32	31	23	11
728642	1282	859	677	645	678	631
9906	6960	4827	5098	6010	5828	4340
112268218	195	148	147	141	196	140
65220	1502	1502	1799	1751	2076	1560
2782	7910	21017	20946	23372	27422	20380
105378949	70	25	21	38	30	29
163688	6	4	16	13	4	9
339456	56	56	116	56	68	28
85452	144	57	128	83	66	39
107984872	3	4	15	10	6	1
105378589	16	13	18	35	21	7
2563	52	46	39	72	81	23
5590	645	900	1101	1194	1147	736
100506504	84	126	188	211	206	165
199990	1991	1105	1511	1263	1717	1116
112268219	354	207	169	164	167	171
6497	4653	3635	4268	4414	4233	4508
79906	457	619	690	664	692	647
100129534	62	130	163	181	158	137
11079	1971	2900	3312	3492	4139	3122
5192	660	1031	1045	990	1275	908
9651	396	131	235	154	178	83
55229	1220	1195	1257	1220	1350	1129
388585	2794	1247	3545	2270	1877	409
115110	48	3	18	15	16	10
8764	32	2	18	14	7	1
100996583	3	17	18	18	19	10
127281	2436	1394	1551	1590	1955	1444
79258	82	121	144	146	172	140
105378597	0	0	15	21	22	10
100287898	0	0	76	101	88	150
440556	776	307	493	564	449	223
63976	2285	1354	3324	3524	3238	1165
105378606	87	46	86	88	40	44
107984909	95	39	85	70	53	28
105378605	74	51	87	91	61	16
105378604	653	289	750	749	409	410
27237	254	366	285	269	248	186
1953	3213	825	1193	1013	1018	1009
105378608	56	13	30	17	10	25
105378607	21	7	6	5	10	6
127262	613	639	787	882	857	692
49856	358	531	602	576	742	498
7161	540	583	139	531	838	456
105378610	19	18	1	10	23	8
57212	2730	2076	1764	1978	2176	1898
148870	21	23	28	49	28	37
388588	76	29	50	55	54	30
57470	4212	2274	1895	2300	2547	2160
9731	1449	1637	1608	1807	2210	1403
1677	392	297	350	403	377	382
107984910	30	36	41	72	56	61
339448	620	1015	1382	1398	1637	1199
100133612	5	15	16	8	16	24
55966	139	187	51	81	131	112
261734	1271	1178	1521	1427	1526	1290
8514	266	345	409	544	438	330
26038	73	47	16	26	24	18
6146	4712	10492	14556	15211	16776	11119
107985733	14	16	31	22	36	15
388591	145	133	167	160	156	185
